TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
318,1107466,-0.305176,0.0610352,-0.732422,-87.3578,-5.27893,-167.789,0.110059,-9.75693,1.30635,-0.045166,0.106476,-0.682404,0.72168,-106.642,83.4917,-9.91667,-7325,-28864
324,1107472,-0.366211,0.244141,-0.793457,-87.3523,-5.26794,-167.651,0.090918,-9.73779,1.29678,-0.0461121,0.107208,-0.682251,0.721649,-106.642,83.4917,-9.93333,-7325,-28864
330,1107478,-0.183105,0.183105,-0.671387,-87.3468,-5.25146,-167.52,0.0765625,-9.74258,1.29678,-0.0470581,0.10791,-0.682098,0.721649,-106.65,83.4917,-9.98333,-7325,-28864
336,1107484,-0.366211,0.183105,-0.671387,-87.3413,-5.23499,-167.382,0.0861328,-9.74736,1.32549,-0.0480042,0.108612,-0.681946,0.721619,-106.65,83.5,-10.0083,-7325,-28864
342,1107490,-0.427246,0.244141,-0.854492,-87.3248,-5.20203,-167.113,0.0765625,-9.73779,1.3207,-0.0489807,0.109314,-0.681793,0.721588,-106.667,83.5,-10.0333,-7325,-28864
348,1107496,-0.366211,0.12207,-1.15967,-87.3193,-5.19104,-166.976,0.0669922,-9.70908,1.33506,-0.0508423,0.110748,-0.681488,0.721527,-106.708,83.5083,-10.0917,-7325,-28864
354,1107502,-0.610352,0.0610352,-1.15967,-87.3138,-5.18005,-166.844,0.090918,-9.67559,1.33984,-0.0517578,0.11145,-0.681335,0.721497,-106.725,83.4917,-10.0833,-7325,-28864
360,1107508,-0.427246,0.183105,-1.2207,-87.3083,-5.16357,-166.712,0.0717773,-9.63252,1.37813,-0.0527039,0.112152,-0.681183,0.721466,-106.742,83.45,-10.0583,-7325,-28864
366,1107514,-0.549316,0.488281,-1.40381,-87.3029,-5.15259,-166.58,0.0574219,-9.67559,1.3542,-0.0535889,0.112854,-0.68103,0.721436,-106.75,83.4167,-10.0333,-7325,-28864
372,1107520,-0.915527,0.12207,-1.58691,-87.2974,-5.13062,-166.317,0.0861328,-9.79521,1.27764,-0.0545044,0.113586,-0.680878,0.721405,-106.742,83.4,-10.0167,-7325,-28864
378,1107526,-0.915527,0.488281,-1.40381,-87.2919,-5.11963,-166.185,0.220117,-9.94834,1.15322,-0.0563049,0.11499,-0.680603,0.721313,-106.742,83.4,-10,-7325,-28864
384,1107532,-0.488281,0.244141,-1.34277,-87.2864,-5.10864,-166.053,0.354102,-10.1589,1.09102,-0.0571899,0.115692,-0.68045,0.721283,-106.75,83.3833,-9.975,-7325,-28864
390,1107538,0.0610352,0.305176,-0.915527,-87.2754,-5.09216,-165.921,0.339746,-10.202,0.976172,-0.0581055,0.116394,-0.680267,0.721252,-106.775,83.375,-9.925,-7325,-28864
396,1107544,0.976563,0.854492,0.183105,-87.2644,-5.07568,-165.795,0.0957031,-10.0632,1.05752,-0.0590515,0.117004,-0.680084,0.721252,-106.792,83.375,-9.90833,-7325,-28864
402,1107550,2.50244,0.732422,0.183105,-87.226,-5.03723,-165.542,0.0813477,-9.81436,1.2585,-0.059967,0.117645,-0.679871,0.721283,-106.817,83.3833,-9.875,-7325,-28864
408,1107556,2.19727,0.854492,0.366211,-87.2095,-5.01526,-165.416,0.143555,-9.6708,1.43076,-0.0618286,0.118896,-0.679382,0.721375,-106.858,83.4083,-9.875,-7325,-28864
414,1107562,1.46484,0.671387,0.366211,-87.193,-4.99878,-165.284,0.16748,-9.75215,1.40205,-0.0627747,0.119507,-0.679169,0.721375,-106.85,83.4167,-9.875,-7325,-28864
420,1107568,1.28174,0.793457,0.610352,-87.1765,-4.97681,-165.157,0.114844,-9.71865,1.33984,-0.0636902,0.120148,-0.678986,0.721375,-106.858,83.425,-9.90833,-7325,-28864
426,1107574,0.915527,0.793457,0.488281,-87.1655,-4.96033,-165.031,0.0813477,-9.74736,1.33984,-0.0646362,0.120758,-0.678772,0.721375,-106.85,83.425,-9.93333,-7325,-28864
432,1107580,0.915527,0.732422,0.366211,-87.1381,-4.92188,-164.784,0.0430664,-9.7043,1.27764,-0.0655518,0.121368,-0.678589,0.721375,-106.825,83.4333,-9.96667,-7325,-28864
438,1107586,0.915527,0.671387,0.183105,-87.1271,-4.8999,-164.658,0.100488,-9.66123,1.35898,-0.0673828,0.122589,-0.678192,0.721375,-106.817,83.425,-9.98333,-7325,-28864
444,1107592,0.976563,0.610352,0.183105,-87.1106,-4.88342,-164.531,0.062207,-9.67559,1.35898,-0.0682983,0.12323,-0.678009,0.721344,-106.817,83.425,-9.95,-7325,-28864
450,1107598,0.549316,0.366211,-0.12207,-87.0996,-4.86694,-164.405,0.0717773,-9.70908,1.33506,-0.0692139,0.123871,-0.677826,0.721344,-106.817,83.4083,-9.91667,-7325,-28864
456,1107604,0.427246,0.244141,-0.183105,-87.0886,-4.85046,-164.279,0.0382813,-9.7043,1.2585,-0.0700989,0.124512,-0.677643,0.721313,-106.817,83.3917,-9.89167,-7325,-28864
462,1107610,0.549316,0.305176,-0.366211,-87.0667,-4.8175,-164.031,0.0861328,-9.76172,1.28721,-0.0710144,0.125122,-0.67746,0.721283,-106.842,83.3583,-9.84167,-7325,-28864
468,1107616,0.610352,0.366211,-0.366211,-87.0557,-4.80652,-163.905,0.0574219,-9.74736,1.29678,-0.0727844,0.126404,-0.677063,0.721252,-106.867,83.325,-9.85,-7317,-28865
474,1107622,0.671387,0.488281,-0.793457,-87.0447,-4.79004,-163.779,0.0669922,-9.73301,1.31113,-0.0736389,0.127045,-0.67688,0.721222,-106.875,83.3167,-9.85,-7317,-28865
480,1107628,0.488281,0.244141,-0.671387,-87.0337,-4.77905,-163.658,0.0717773,-9.73779,1.30156,-0.0745239,0.127686,-0.676666,0.721191,-106.892,83.3,-9.84167,-7325,-28864
486,1107634,0.610352,0.244141,-1.0376,-87.0227,-4.76807,-163.531,0.0717773,-9.66123,1.30635,-0.0753784,0.128357,-0.676483,0.721191,-106.883,83.2833,-9.80833,-7325,-28864
492,1107640,0.366211,0.183105,-1.15967,-87.0007,-4.7406,-163.284,0.0813477,-9.69473,1.36855,-0.0762634,0.128998,-0.6763,0.721161,-106.85,83.2583,-9.75,-7325,-28864
498,1107646,0.488281,0.244141,-1.64795,-86.9897,-4.73511,-163.163,0.0143555,-9.61816,1.38291,-0.0779419,0.13031,-0.675903,0.7211,-106.85,83.2583,-9.775,-7325,-28864
504,1107652,0.610352,0,-1.15967,-86.9788,-4.72412,-163.037,0.114844,-9.58467,1.45947,-0.0787964,0.130981,-0.67569,0.721069,-106.833,83.25,-9.83333,-7325,-28864
