TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
456,453049,1.64795,1.70898,1.09863,-80.7495,-20.6708,-140.317,3.61279,-9.02481,1.4834,0.145325,-0.345154,0.552979,-0.744202,-123.408,50.175,-68.6917,-10305,-28503
462,453055,1.83105,1.70898,0.976563,-80.733,-20.6708,-140.378,3.52188,-9.03438,1.6126,0.144989,-0.344849,0.55304,-0.744354,-123.417,50.1417,-68.75,-10305,-28503
468,453061,1.52588,1.46484,1.46484,-80.7166,-20.6653,-140.438,3.42617,-8.94824,1.7083,0.144348,-0.344208,0.553192,-0.74469,-123.425,50.15,-68.8,-10305,-28503
474,453067,0.427246,0.244141,0.793457,-80.7001,-20.6708,-140.543,3.48359,-9.01523,1.7083,0.144043,-0.343933,0.553284,-0.744781,-123.433,50.1667,-68.8583,-10305,-28503
480,453073,0.244141,-0.183105,0.976563,-80.6946,-20.6708,-140.592,3.50273,-8.94346,1.71787,0.143707,-0.343689,0.553406,-0.744904,-123.442,50.1667,-68.85,-10305,-28503
486,453079,-0.610352,-1.09863,0.610352,-80.6946,-20.6708,-140.636,3.52188,-8.89561,1.7083,0.143402,-0.343445,0.553497,-0.744995,-123.458,50.175,-68.825,-10305,-28503
492,453085,-1.46484,-1.40381,0.610352,-80.7001,-20.6763,-140.68,3.59844,-8.97695,1.58389,0.143097,-0.343231,0.553619,-0.745056,-123.458,50.175,-68.8083,-10305,-28503
498,453091,-1.58691,-1.64795,0.427246,-80.7056,-20.6763,-140.724,3.46445,-9.06787,1.60781,0.142456,-0.342865,0.553955,-0.745087,-123.425,50.1583,-68.825,-10305,-28503
504,453097,-2.01416,-2.19727,0.427246,-80.722,-20.6818,-140.801,3.45488,-9.04873,1.62217,0.142151,-0.342712,0.554108,-0.745117,-123.358,50.1583,-68.8583,-10305,-28503
510,453103,-2.01416,-2.68555,0.183105,-80.733,-20.6873,-140.839,3.43096,-9.04873,1.56953,0.141846,-0.34256,0.55426,-0.745117,-123.325,50.1583,-68.875,-10305,-28503
516,453109,-2.31934,-2.80762,0,-80.744,-20.6927,-140.872,3.46924,-9.12529,1.49775,0.141571,-0.342407,0.554443,-0.745117,-123.308,50.15,-68.8833,-10305,-28503
522,453115,-1.83105,-3.23486,-0.244141,-80.755,-20.7037,-140.911,3.43574,-9.10137,1.51211,0.141266,-0.342285,0.554596,-0.745117,-123.3,50.1417,-68.8667,-10305,-28503
528,453121,-1.83105,-2.99072,-0.732422,-80.766,-20.7092,-140.944,3.49795,-9.14443,1.4834,0.140656,-0.342072,0.554901,-0.745117,-123.292,50.1417,-68.825,-10305,-28503
534,453127,-1.83105,-3.35693,-0.549316,-80.788,-20.7257,-141.01,3.48838,-9.11572,1.43076,0.140381,-0.341949,0.555054,-0.745117,-123.267,50.1083,-68.7667,-10305,-28503
540,453133,-1.2207,-3.90625,-0.732422,-80.799,-20.7312,-141.042,3.50273,-9.10615,1.48818,0.140076,-0.341858,0.555176,-0.745087,-123.267,50.1167,-68.7583,-10305,-28503
546,453139,-0.976563,-3.35693,-0.549316,-80.8044,-20.7422,-141.07,3.54102,-9.13965,1.51211,0.139801,-0.341766,0.555298,-0.745087,-123.258,50.1417,-68.7583,-10305,-28503
552,453145,-0.793457,-3.2959,-0.488281,-80.8099,-20.7477,-141.103,3.49795,-9.09658,1.49297,0.139526,-0.341675,0.55542,-0.745087,-123.267,50.175,-68.7417,-10305,-28503
558,453151,-0.671387,-3.35693,-0.366211,-80.8154,-20.7532,-141.136,3.5793,-9.06309,1.40205,0.138977,-0.341461,0.555664,-0.745117,-123.267,50.175,-68.725,-10305,-28503
564,453157,-0.854492,-3.90625,-0.183105,-80.8374,-20.7697,-141.196,3.69893,-9.07266,1.43555,0.138733,-0.34137,0.555786,-0.745117,-123.242,50.1917,-68.65,-10305,-28503
570,453163,-0.549316,-2.92969,-0.12207,-80.8429,-20.7751,-141.229,3.66543,-9.01523,1.40684,0.138489,-0.341278,0.555908,-0.745117,-123.242,50.1917,-68.6417,-10305,-28503
576,453169,-0.610352,-2.50244,0.366211,-80.8484,-20.7751,-141.262,3.75156,-9.01523,1.42119,0.138214,-0.341156,0.55603,-0.745117,-123.233,50.1667,-68.6833,-10305,-28503
582,453175,-0.915527,-2.74658,0.427246,-80.8539,-20.7806,-141.295,3.7085,-9.02002,1.40205,0.137939,-0.341003,0.556183,-0.745148,-123.233,50.15,-68.7083,-10305,-28503
588,453181,-1.0376,-1.40381,1.40381,-80.8649,-20.7806,-141.334,3.70371,-9.05352,1.3542,0.137421,-0.340698,0.556488,-0.745148,-123.242,50.1417,-68.725,-10305,-28503
594,453187,-1.2207,-0.915527,1.2207,-80.8759,-20.7751,-141.416,3.54102,-9.01523,1.4834,0.137177,-0.340485,0.556641,-0.745178,-123.233,50.0917,-68.725,-10305,-28503
600,453193,-1.15967,-1.15967,1.46484,-80.8813,-20.7697,-141.46,3.42139,-9.14922,1.55518,0.136902,-0.340271,0.556824,-0.745178,-123.233,50.0833,-68.725,-10305,-28503
606,453199,-1.58691,-1.46484,1.09863,-80.8923,-20.7697,-141.498,3.38311,-9.01523,1.60781,0.136627,-0.340057,0.557007,-0.745209,-123.242,50.1083,-68.6917,-10305,-28503
612,453205,-1.95313,-2.19727,0.549316,-80.9033,-20.7697,-141.531,3.42617,-9.06787,1.63174,0.136353,-0.339874,0.55719,-0.745209,-123.25,50.1333,-68.6417,-10305,-28503
618,453211,-2.13623,-1.83105,0.305176,-80.9143,-20.7697,-141.57,3.51709,-9.06787,1.44512,0.135803,-0.339539,0.557556,-0.745178,-123.267,50.15,-68.625,-10305,-28503
624,453217,-2.01416,-2.0752,-0.0610352,-80.9418,-20.7751,-141.647,3.52666,-9.17314,1.43555,0.135498,-0.339386,0.557739,-0.745178,-123.283,50.1917,-68.5667,-10305,-28503
630,453223,-1.58691,-2.0752,0,-80.9473,-20.7806,-141.68,3.50752,-9.14922,1.4499,0.135223,-0.339233,0.557922,-0.745148,-123.283,50.2,-68.5583,-10305,-28503
636,453229,-1.46484,-1.46484,-0.12207,-80.9583,-20.7806,-141.724,3.53623,-9.11094,1.43076,0.134918,-0.339111,0.558075,-0.745148,-123.275,50.175,-68.5083,-10305,-28503
642,453235,-1.64795,-1.70898,-0.0610352,-80.9692,-20.7861,-141.762,3.4501,-9.10615,1.45469,0.134613,-0.338928,0.558228,-0.745148,-123.3,50.1667,-68.4833,-10305,-28503
648,453241,-1.52588,-2.2583,-0.244141,-80.9747,-20.7861,-141.795,3.46924,-9.10615,1.46904,0.134033,-0.338623,0.558563,-0.745148,-123.325,50.1583,-68.4417,-10305,-28503
654,453247,-1.34277,-1.95313,-0.732422,-80.9967,-20.7971,-141.866,3.56494,-9.10137,1.47383,0.133759,-0.338501,0.558716,-0.745148,-123.358,50.1083,-68.3917,-10305,-28503
660,453253,-1.28174,-1.89209,-0.610352,-81.0022,-20.8026,-141.905,3.50752,-9.08223,1.4499,0.133453,-0.338379,0.558868,-0.745148,-123.35,50.075,-68.3833,-10305,-28503
666,453259,-1.0376,-2.13623,-0.610352,-81.0132,-20.8081,-141.943,3.53623,-9.07266,1.46904,0.133148,-0.338226,0.559021,-0.745148,-123.367,50.0583,-68.375,-10305,-28503
672,453265,-1.28174,-2.19727,-0.427246,-81.0187,-20.8136,-141.976,3.58887,-9.04395,1.46904,0.132874,-0.338104,0.559143,-0.745178,-123.375,50.0417,-68.375,-10305,-28503
678,453271,-1.52588,-2.19727,-0.671387,-81.0297,-20.8191,-142.015,3.62715,-9.06787,1.40684,0.132294,-0.33783,0.559448,-0.745178,-123.383,50.025,-68.3583,-10305,-28503
684,453277,-1.58691,-2.0752,-0.610352,-81.0516,-20.8301,-142.081,3.65586,-9.0583,1.41162,0.132019,-0.337708,0.559601,-0.745178,-123.425,50.025,-68.3,-10305,-28503
690,453283,-1.46484,-1.83105,-0.0610352,-81.0626,-20.8356,-142.119,3.63193,-9.06309,1.43076,0.131714,-0.337585,0.559753,-0.745148,-123.433,50.0333,-68.2583,-10305,-28503
696,453289,-2.01416,-1.89209,0,-81.0736,-20.8411,-142.158,3.60322,-9.07266,1.42119,0.131439,-0.337433,0.559906,-0.745148,-123.425,50.025,-68.2417,-10305,-28503
702,453295,-2.01416,-1.46484,-0.12207,-81.0846,-20.8411,-142.191,3.61758,-9.08223,1.39727,0.131134,-0.33728,0.560089,-0.745148,-123.408,50.025,-68.2583,-10305,-28503
708,453301,-1.52588,-1.40381,0.183105,-81.0956,-20.8466,-142.229,3.56973,-9.12529,1.41641,0.130554,-0.336975,0.560425,-0.745117,-123.4,50.0417,-68.2667,-10305,-28503
